CL_NUM ACC PREC RCL F1 ROC 
0 0.6503 1.0000 0.0656 0.1231 0.5328 
1 0.6159 0.0000 0.0000 0.0000 0.5000 
2 0.6400 0.4574 0.7818 0.5772 0.6784 
3 0.6905 0.0000 0.0000 0.0000 0.5000 
4 0.6643 0.0000 0.0000 0.0000 0.5000 
5 0.8256 0.9310 0.4909 0.6429 0.7369 
6 0.6845 0.0000 0.0000 0.0000 0.5000 
7 0.6434 0.0000 0.0000 0.0000 0.5000 
8 0.7037 0.0000 0.0000 0.0000 0.5000 
9 0.6291 0.0000 0.0000 0.0000 0.5000 
10 0.6467 0.0000 0.0000 0.0000 0.5000 
11 0.6736 0.0000 0.0000 0.0000 0.5000 
12 0.7857 0.9000 0.3913 0.5455 0.6850 
13 0.6405 1.0000 0.0984 0.1791 0.5492 
14 0.6786 0.0000 0.0000 0.0000 0.5000 
15 0.6645 0.0000 0.0000 0.0000 0.5000 
16 0.6647 0.0000 0.0000 0.0000 0.5000 
17 0.6937 0.0000 0.0000 0.0000 0.5000 
18 0.6429 0.0000 0.0000 0.0000 0.5000 
19 0.6812 1.0000 0.0638 0.1200 0.5319 
20 0.6316 0.0000 0.0000 0.0000 0.5000 
21 0.6894 0.0000 0.0000 0.0000 0.5000 
22 0.6603 0.0000 0.0000 0.0000 0.5000 
23 0.7126 0.0000 0.0000 0.0000 0.5000 
24 0.6370 0.0000 0.0000 0.0000 0.5000 
25 0.6807 0.0000 0.0000 0.0000 0.5000 
26 0.6438 0.0000 0.0000 0.0000 0.5000 
27 0.7055 1.0000 0.1273 0.2258 0.5636 
28 0.6786 0.0000 0.0000 0.0000 0.5000 
29 0.6765 0.4643 0.6500 0.5417 0.6687 
30 0.6486 0.0000 0.0000 0.0000 0.5000 
31 0.6645 0.4528 0.5217 0.4848 0.6241 
32 0.6013 0.0000 0.0000 0.0000 0.5000 
33 0.6250 0.0000 0.0000 0.0000 0.5000 
34 0.6541 0.0000 0.0000 0.0000 0.5000 
35 0.6752 0.0000 0.0000 0.0000 0.5000 
36 0.6407 0.0000 0.0000 0.0000 0.5000 
37 0.6908 0.0000 0.0000 0.0000 0.5000 
38 0.6903 0.0000 0.0000 0.0000 0.5000 
39 0.6579 0.2308 0.0667 0.1034 0.4866 
40 0.6736 0.0000 0.0000 0.0000 0.5000 
41 0.6319 0.0000 0.0000 0.0000 0.5000 
42 0.6556 0.0000 0.0000 0.0000 0.5000 
43 0.6067 0.0000 0.0000 0.0000 0.5000 
44 0.6241 0.0000 0.0000 0.0000 0.5000 
45 0.6479 0.0000 0.0000 0.0000 0.5000 
46 0.6730 0.0000 0.0000 0.0000 0.5000 
47 0.6507 0.5091 0.5385 0.5234 0.6256 
48 0.5971 0.0000 0.0000 0.0000 0.5000 
49 0.6412 0.0000 0.0000 0.0000 0.5000 
