CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.9219 0.9125 0.9449 0.9284 0.9202 
1 3043 0.8302 0.7438 0.9757 0.8441 0.8380 
2 3083 0.9457 0.9194 0.9805 0.9490 0.9446 
3 2860 0.8988 0.9609 0.8435 0.8984 0.9024 
4 2918 0.9448 0.9263 0.9670 0.9462 0.9446 
5 2998 0.9394 0.9154 0.9727 0.9432 0.9382 
6 3067 0.8955 0.8304 0.9917 0.9040 0.8963 
7 3027 0.9432 0.9048 0.9960 0.9482 0.9407 
8 3021 0.9256 0.9180 0.9400 0.9289 0.9251 
9 2970 0.9249 0.8881 0.9675 0.9261 0.9260 
10 3031 0.9506 0.9158 0.9962 0.9543 0.9489 
11 2975 0.9403 0.9264 0.9598 0.9428 0.9398 
12 3003 0.8541 1.0000 0.7180 0.8359 0.8590 
13 2994 0.8394 0.7955 0.9211 0.8537 0.8380 
14 2987 0.9419 0.9167 0.9758 0.9453 0.9409 
15 3039 0.9695 0.9654 0.9767 0.9710 0.9691 
16 3091 0.9172 0.8787 0.9715 0.9228 0.9162 
17 3088 0.9628 0.9404 0.9889 0.9640 0.9626 
18 3069 0.9226 0.8678 1.0000 0.9292 0.9214 
19 2961 0.9297 0.8893 0.9803 0.9326 0.9301 
20 2934 0.8228 0.7708 0.9393 0.8467 0.8177 
21 2951 0.9163 0.9202 0.9125 0.9163 0.9163 
22 2978 0.6938 0.6381 0.9506 0.7636 0.6829 
23 3058 0.9290 0.9069 0.9573 0.9314 0.9288 
24 3062 0.7578 0.6983 0.9240 0.7954 0.7545 
25 2973 0.9478 0.9197 0.9821 0.9499 0.9476 
26 2937 0.8826 0.8185 0.9609 0.8840 0.8876 
27 2936 0.6739 0.9684 0.3622 0.5272 0.6751 
28 3021 0.9328 0.8851 0.9962 0.9374 0.9322 
29 2967 0.9151 0.9077 0.9183 0.9130 0.9152 
30 2994 0.7286 0.6580 0.9542 0.7789 0.7281 
31 2955 0.9149 0.8764 0.9669 0.9194 0.9147 
32 2976 0.7920 0.7027 0.9791 0.8182 0.7999 
33 2954 0.8795 0.8400 0.9403 0.8873 0.8789 
34 3035 0.9480 0.9444 0.9520 0.9482 0.9480 
35 3041 0.9389 0.9183 0.9593 0.9384 0.9394 
36 3014 0.9566 0.9580 0.9540 0.9560 0.9566 
37 3048 0.9212 0.8741 0.9793 0.9237 0.9227 
38 2935 0.9673 0.9391 1.0000 0.9686 0.9671 
39 2938 0.9433 0.9261 0.9675 0.9463 0.9424 
