CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 1535 0.4858 0.4858 1.0000 0.6540 0.5000 
1 1506 0.5201 0.5201 1.0000 0.6843 0.5000 
2 1590 0.4969 0.4969 1.0000 0.6639 0.5000 
3 1549 0.5052 0.5052 1.0000 0.6712 0.5000 
4 1537 0.5260 0.5260 1.0000 0.6894 0.5000 
5 1450 0.4830 0.4830 1.0000 0.6514 0.5000 
6 1472 0.4990 0.4990 1.0000 0.6658 0.5000 
7 1490 0.5045 0.5045 1.0000 0.6707 0.5000 
8 1536 0.5149 0.5149 1.0000 0.6798 0.5000 
9 1487 0.5364 0.5364 1.0000 0.6983 0.5000 
10 1469 0.4796 0.4796 1.0000 0.6483 0.5000 
11 1489 0.4970 0.4970 1.0000 0.6640 0.5000 
12 1603 0.5458 0.5458 1.0000 0.7062 0.5000 
13 1529 0.5558 0.5558 1.0000 0.7145 0.5000 
14 1481 0.5341 0.5341 1.0000 0.6963 0.5000 
15 1511 0.4981 0.4981 1.0000 0.6650 0.5000 
16 1488 0.5475 0.5475 1.0000 0.7076 0.5000 
17 1527 0.4776 0.4776 1.0000 0.6465 0.5000 
18 1531 0.5230 0.5230 1.0000 0.6868 0.5000 
19 1545 0.4619 0.4619 1.0000 0.6319 0.5000 
