CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.6371 0.6108 0.8898 0.7244 0.6176 
1 3043 0.9466 0.9132 0.9798 0.9453 0.9484 
2 3083 0.9577 0.9368 0.9844 0.9600 0.9569 
3 2860 0.3765 0.1618 0.0420 0.0667 0.3981 
4 2918 0.4972 0.0000 0.0000 0.0000 0.5000 
5 2998 0.4545 0.3056 0.0430 0.0753 0.4692 
6 3067 0.4898 0.4768 0.2975 0.3664 0.4882 
7 3027 0.3600 0.1316 0.0403 0.0617 0.3748 
8 3021 0.5145 0.5843 0.2080 0.3068 0.5249 
9 2970 0.5257 0.6154 0.0650 0.1176 0.5133 
10 3031 0.3755 0.2128 0.0763 0.1124 0.3865 
11 2975 0.4218 0.1000 0.0161 0.0277 0.4321 
12 3003 0.4008 0.1818 0.0451 0.0723 0.4137 
13 2994 0.9694 0.9529 0.9887 0.9705 0.9691 
14 2987 0.4855 0.0000 0.0000 0.0000 0.5000 
15 3039 0.9857 0.9921 0.9805 0.9863 0.9860 
16 3091 0.6253 0.5849 0.9106 0.7122 0.6198 
17 3088 0.9647 0.9345 1.0000 0.9661 0.9644 
18 3069 0.4266 0.0000 0.0000 0.0000 0.4335 
19 2961 0.5332 1.0000 0.0591 0.1115 0.5295 
20 2934 0.9473 0.9440 0.9555 0.9497 0.9469 
21 2951 0.8745 0.8488 0.9125 0.8795 0.8743 
22 2978 0.5418 0.5523 0.6296 0.5885 0.5380 
23 3058 0.8086 0.9618 0.6453 0.7724 0.8097 
24 3062 0.4128 0.0000 0.0000 0.0000 0.4209 
25 2973 0.9730 0.9749 0.9714 0.9732 0.9730 
26 2937 0.5891 0.5333 0.9391 0.6803 0.6116 
27 2936 0.4980 0.0000 0.0000 0.0000 0.5000 
28 3021 0.6545 0.6520 0.6768 0.6642 0.6543 
29 2967 0.5943 0.5486 0.9222 0.6880 0.6039 
30 2994 0.4196 0.0682 0.0125 0.0211 0.4205 
31 2955 0.5581 1.0000 0.1198 0.2140 0.5599 
32 2976 0.5180 0.4972 0.7406 0.5950 0.5274 
33 2954 0.4011 0.0536 0.0112 0.0185 0.4048 
34 3035 0.9320 0.9030 0.9680 0.9344 0.9320 
35 3041 0.4043 0.1889 0.0691 0.1012 0.3947 
36 3014 0.4628 0.0000 0.0000 0.0000 0.4571 
37 3048 0.4869 0.4000 0.1079 0.1699 0.4772 
38 2935 0.7019 0.6989 0.7176 0.7081 0.7018 
39 2938 0.6891 0.6354 0.9350 0.7566 0.6805 
