CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.9737 0.9522 0.9958 0.9735 0.9743 
1 3001 0.9618 0.9315 1.0000 0.9645 0.9602 
2 3067 0.9562 0.9189 1.0000 0.9577 0.9564 
3 2975 0.9649 0.9524 0.9796 0.9658 0.9648 
4 2928 0.9730 0.9511 1.0000 0.9750 0.9715 
5 3030 0.9319 0.8824 0.9912 0.9336 0.9339 
6 2933 0.9579 0.9222 1.0000 0.9595 0.9580 
7 2950 0.9494 0.9115 0.9964 0.9521 0.9489 
8 3080 0.9622 0.9444 0.9846 0.9641 0.9615 
9 2915 0.9676 0.9431 1.0000 0.9707 0.9651 
10 2944 0.9000 0.9515 0.8340 0.8889 0.8974 
11 2965 0.9642 0.9496 0.9800 0.9646 0.9643 
12 3124 0.9582 0.9288 1.0000 0.9631 0.9539 
13 3054 0.8844 0.9657 0.8212 0.8876 0.8923 
14 2955 0.9697 0.9683 0.9752 0.9717 0.9693 
15 3015 0.9756 0.9565 0.9962 0.9760 0.9756 
16 2936 0.9475 0.9125 1.0000 0.9542 0.9420 
17 3009 0.9553 0.9144 1.0000 0.9553 0.9572 
18 3025 0.9459 0.9466 0.9502 0.9484 0.9457 
19 2992 0.9485 0.9671 0.9196 0.9428 0.9464 
