CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 2024 0.4979 0.4148 0.9532 0.5780 0.5971 
1 2027 0.4370 0.3659 0.9483 0.5280 0.5656 
2 2053 0.4366 0.3869 0.9071 0.5425 0.5348 
3 1854 0.4980 0.3995 0.9464 0.5618 0.6066 
4 1848 0.4530 0.3705 0.9171 0.5278 0.5691 
5 1948 0.4242 0.4080 0.9747 0.5753 0.5160 
6 1987 0.4877 0.4000 0.9586 0.5645 0.5984 
7 1980 0.4189 0.3724 0.9521 0.5354 0.5410 
8 1973 0.3822 0.3568 0.9586 0.5201 0.5158 
9 1927 0.4368 0.3412 0.9536 0.5026 0.5853 
10 2041 0.4684 0.3852 0.9306 0.5448 0.5794 
11 1951 0.4671 0.3995 0.9209 0.5573 0.5640 
12 1952 0.4708 0.3940 0.9500 0.5570 0.5813 
13 1945 0.4551 0.3770 0.9489 0.5396 0.5767 
14 1908 0.4834 0.3933 0.9217 0.5514 0.5874 
15 1962 0.4868 0.4140 0.9448 0.5758 0.5821 
16 2034 0.5362 0.4646 0.9388 0.6216 0.6000 
17 1993 0.4981 0.4136 0.9381 0.5741 0.5941 
18 2021 0.4464 0.3606 0.9202 0.5181 0.5701 
19 1941 0.4434 0.3670 0.9467 0.5289 0.5710 
20 1884 0.4937 0.4026 0.9394 0.5636 0.5975 
21 1868 0.4582 0.3747 0.9250 0.5333 0.5741 
22 1903 0.5161 0.4178 0.9394 0.5784 0.6121 
23 1965 0.3978 0.3500 0.9545 0.5122 0.5384 
24 1997 0.4981 0.4024 0.9548 0.5662 0.6072 
25 1912 0.5018 0.4323 0.9209 0.5884 0.5792 
26 1887 0.4595 0.3848 0.9075 0.5404 0.5628 
27 1918 0.4960 0.4145 0.9348 0.5743 0.5901 
28 2003 0.4741 0.4023 0.9105 0.5581 0.5670 
29 1935 0.5075 0.4348 0.9314 0.5928 0.5869 
30 1951 0.4008 0.3816 0.9721 0.5480 0.5160 
31 1896 0.4917 0.4134 0.9543 0.5769 0.5911 
32 1938 0.4560 0.3797 0.9471 0.5421 0.5750 
33 1930 0.4331 0.3640 0.9379 0.5245 0.5593 
34 1973 0.4840 0.3951 0.9419 0.5567 0.5929 
35 1942 0.5128 0.4316 0.9683 0.5971 0.6052 
36 1917 0.4442 0.3559 0.9221 0.5136 0.5716 
37 1963 0.4626 0.4045 0.9780 0.5723 0.5705 
38 1906 0.3808 0.3528 0.9337 0.5121 0.5096 
39 1927 0.4727 0.3780 0.9114 0.5343 0.5831 
