CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.9717 0.9449 1.0000 0.9717 0.9724 
1 3001 0.9618 0.9315 1.0000 0.9645 0.9602 
2 3067 0.9582 0.9225 1.0000 0.9597 0.9585 
3 2975 0.9711 0.9639 0.9796 0.9717 0.9710 
4 2928 0.6320 0.5945 0.9447 0.7298 0.6149 
5 3030 0.9404 0.8933 0.9956 0.9417 0.9422 
6 2933 0.9178 0.8611 0.9960 0.9236 0.9180 
7 2950 0.9241 0.8738 0.9928 0.9295 0.9234 
8 3080 0.9682 0.9483 0.9923 0.9698 0.9675 
9 2915 0.3300 0.0541 0.0151 0.0236 0.3547 
10 2944 0.9490 0.9412 0.9532 0.9471 0.9491 
11 2965 0.9642 0.9496 0.9800 0.9646 0.9643 
12 3124 0.9641 0.9414 0.9964 0.9681 0.9609 
13 3054 0.9412 0.9804 0.9124 0.9452 0.9448 
14 2955 0.9640 0.9519 0.9823 0.9668 0.9627 
15 3015 0.9756 0.9599 0.9925 0.9759 0.9756 
16 2936 0.3838 0.2500 0.0627 0.1003 0.4175 
17 3009 0.9553 0.9144 1.0000 0.9553 0.9572 
18 3025 0.9559 0.9442 0.9732 0.9585 0.9551 
19 2992 0.9485 0.9671 0.9196 0.9428 0.9464 
