CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.4757 0.3061 0.0625 0.1038 0.4643 
1 3001 0.9751 0.9609 0.9926 0.9765 0.9744 
2 3067 0.3904 0.1625 0.0546 0.0818 0.3883 
3 2975 0.9567 0.9628 0.9510 0.9569 0.9568 
4 2928 0.4075 0.2333 0.0553 0.0895 0.4268 
5 3030 0.5149 0.0000 0.0000 0.0000 0.4979 
6 2933 0.3908 0.1429 0.0442 0.0675 0.3901 
7 2950 0.5660 0.5496 0.7742 0.6429 0.5641 
8 3080 0.9483 0.9396 0.9614 0.9504 0.9479 
9 2915 0.3219 0.0000 0.0000 0.0000 0.3472 
10 2944 0.4102 0.1250 0.0383 0.0586 0.3956 
11 2965 0.5089 0.5517 0.0640 0.1147 0.5063 
12 3124 0.3884 0.2000 0.0401 0.0669 0.4236 
13 3054 0.9757 0.9712 0.9854 0.9783 0.9744 
14 2955 0.4564 0.0000 0.0000 0.0000 0.4898 
15 3015 0.9793 0.9669 0.9925 0.9795 0.9794 
16 2936 0.3838 0.2500 0.0627 0.1003 0.4175 
17 3009 0.8862 0.8097 0.9957 0.8931 0.8909 
18 3025 0.4529 0.3333 0.0460 0.0808 0.4726 
19 2992 0.4680 0.0526 0.0089 0.0153 0.4355 
